category,adjective
soft,Kuschelig
soft,Flauschig
soft,Pummelig
soft,Knuddelig
soft,Wuschelig
soft,Tollpatschig
soft,Plüschig
soft,Schnuffelig
soft,Verschlafen
soft,Zappelig
soft,Rundlich
soft,Moppelig
soft,Stupsnasig
soft,Tapsig
soft,Knuffig
soft,Verträumt
soft,Drollig
soft,Gemütlich
soft,Schmusig
soft,Kulleräugig
soft,Niedlich
soft,Wackelig
soft,Pummelchen
soft,Putzig
soft,Schnuckelig
hard,Unbarmherzig
hard,Gnadenlos
hard,Vernichtend
hard,Rasend
hard,Monströs
hard,Todbringend
hard,Höllisch
hard,Erbarmungslos
hard,Verwüstend
hard,Brachial
hard,Titanisch
hard,Apokalyptisch
hard,Wahnsinnig
hard,Teuflisch
hard,Blutrünstig
hard,Mordlustig
hard,Entfesselt
hard,Zerstörerisch
hard,Berserkernd
hard,Verheerend
hard,Finster
hard,Chaotisch
hard,Urgewaltig
hard,Infernalisch
hard,Bestialisch
crown_upper,Majestätisch
crown_upper,Königlich
crown_upper,Erhaben
crown_upper,Souverän
crown_upper,Kaiserlich
crown_upper,Gekrönt
crown_upper,Herrschaftlich
crown_upper,Glorreich
crown_upper,Thronend
crown_upper,Edel
regicide_upper,Königsmörderisch
regicide_upper,Thronräuberisch
regicide_upper,Umstürzlerisch
regicide_upper,Putschend
regicide_upper,Kronenraubend
regicide_upper,Zepterknickend
regicide_upper,Dynastiebeendend
regicide_upper,Entthronend
regicide_upper,Aufständisch
regicide_upper,Revoluzzerhaft
bumps_upper,Rauflustig
bumps_upper,Remplerisch
bumps_upper,Schubsend
bumps_upper,Rabaukig
bumps_upper,Polternd
bumps_upper,Raufboldig
bumps_upper,Draufgängerisch
bumps_upper,Bulldozernd
bumps_upper,Rammend
bumps_upper,Krachend
kills_upper,Vernichtend
kills_upper,Tödlich
kills_upper,Unaufhaltsam
kills_upper,Erbarmungslos
kills_upper,Allesbeherrschend
kills_upper,Zerschmetternd
kills_upper,Übermächtig
kills_upper,Bezwingend
kills_upper,Triumphierend
kills_upper,Unbesiegbar
kills_lower,Friedfertig
kills_lower,Pazifistisch
kills_lower,Sanftmütig
kills_lower,Harmlos
kills_lower,Barmherzig
kills_lower,Gutmütig
kills_lower,Friedlich
kills_lower,Zahm
kills_lower,Ruhig
kills_lower,Gelassen
deaths_upper,Pechvogelig
deaths_upper,Tollpatschig
deaths_upper,Verhext
deaths_upper,Unglückselig
deaths_upper,Stolpernd
deaths_upper,Verwundbar
deaths_upper,Trottelnd
deaths_upper,Schusselnd
deaths_upper,Pannenhaft
deaths_upper,Zerbrechlich
deaths_lower,Unverwüstlich
deaths_lower,Unsterblich
deaths_lower,Unzerstörbar
deaths_lower,Zäh
deaths_lower,Gepanzert
deaths_lower,Stahlhart
deaths_lower,Unbezwingbar
deaths_lower,Eisern
deaths_lower,Widerstandsfähig
deaths_lower,Hartgesotten
jumps_upper,Hoppelnd
jumps_upper,Springfreudig
jumps_upper,Hyperaktiv
jumps_upper,Hüpfend
jumps_upper,Trampolinverrückt
jumps_upper,Himmelstürmend
jumps_upper,Abhebend
jumps_upper,Zappelig
jumps_upper,Flatterig
jumps_upper,Aufgekratzt
jumps_lower,Bodenständig
jumps_lower,Verwurzelt
jumps_lower,Bleifüßig
jumps_lower,Verankert
jumps_lower,Standhaft
jumps_lower,Schwerfällig
jumps_lower,Erdverbunden
jumps_lower,Felsengleich
jumps_lower,Unerschütterlich
jumps_lower,Stur
water_time_upper,Durchnässt
water_time_upper,Wasserrattig
water_time_upper,Amphibisch
water_time_upper,Klitschnass
water_time_upper,Seetauglich
water_time_upper,Fischig
water_time_upper,Überflutet
water_time_upper,Triefend
water_time_upper,Plätschernd
water_time_upper,Wassersüchtig
water_jump_upper,Delfinisch
water_jump_upper,Wellenreitend
water_jump_upper,Spritzend
water_jump_upper,Planschend
water_jump_upper,Springbrunnenartig
water_jump_upper,Wasserballistisch
water_jump_upper,Geysirgleich
water_jump_upper,Sturzbachgeboren
ice_time_upper,Eiskalt
ice_time_upper,Durchgefroren
ice_time_upper,Frostig
ice_time_upper,Schlitternd
ice_time_upper,Eisgekrustet
ice_time_upper,Schneeverstaubt
ice_time_upper,Tiefgekühlt
ice_time_upper,Gletschergleich
ice_time_upper,Winterfest
ice_time_upper,Polartauglich
springs_upper,Katapultiert
springs_upper,Federgeladen
springs_upper,Abgeschossen
springs_upper,Raketengetrieben
springs_upper,Turbobeschleunigt
springs_upper,Schleuderverrückt
springs_upper,Abgefeuert
springs_upper,Trampolinbegeistert
springs_upper,Boosterbetankt
springs_upper,Überschallschnell
direction_changes_upper,Zickzackend
direction_changes_upper,Hektisch
direction_changes_upper,Fahrig
direction_changes_upper,Schreckhaft
direction_changes_upper,Nervös
direction_changes_upper,Unentschlossen
direction_changes_upper,Panisch
direction_changes_upper,Wirr
direction_changes_upper,Flatterhaft
direction_changes_upper,Konfus
direction_changes_lower,Zielstrebig
direction_changes_lower,Entschlossen
direction_changes_lower,Unbeirrbar
direction_changes_lower,Gradlinig
direction_changes_lower,Willensstark
direction_changes_lower,Unerschütterlich
direction_changes_lower,Beharrlich
direction_changes_lower,Stur
direction_changes_lower,Fokussiert
direction_changes_lower,Eisern
height_upper,Wolkenkratzend
height_upper,Himmelsstürmend
height_upper,Gipfelstürmend
height_upper,Schwebend
height_upper,Stratosphärisch
height_upper,Hochfliegend
height_upper,Turmhoch
height_upper,Aufsteigend
height_upper,Gipfelgleich
critter_disruptor_upper,Aufmischend
critter_disruptor_upper,Randalierend
critter_disruptor_upper,Terrorisierend
critter_disruptor_upper,Krawallmachend
critter_disruptor_upper,Aufscheuchend
critter_disruptor_upper,Chaosverbreitend
critter_disruptor_upper,Biestig
fly_proximity_upper,Brummend
fly_proximity_upper,Schwarmumgeben
fly_proximity_upper,Fliegenumwölkt
fly_proximity_upper,Insektenumhüllt
fly_proximity_upper,Mückenumkreist
fly_proximity_upper,Surrend
fly_proximity_upper,Summselig
poop_upper,Fleißigköttelnd
poop_upper,Köttelkönig
poop_upper,Haufenmachend
poop_upper,Düngerliefernd
poop_upper,Verdauungsfreudig
poop_upper,Kleckernd
poop_upper,Plopanfällig
poop_upper,Mistbeetzüchtend
poop_upper,Bömbchenwerfend
