category,adjective
soft,Bouncy
soft,Chonky
soft,Floppy
soft,Snuggly
soft,Twitchy
soft,Fuzzy
soft,Wiggly
soft,Cuddly
soft,Plump
soft,Velvety
soft,Squishy
soft,Hoppy
soft,Sleepy
soft,Chunky
soft,Adorable
soft,Mischievous
soft,Derpy
soft,Zoomie
soft,Pudgy
soft,Silky
soft,Tubby
soft,Soft
soft,Goofy
soft,Loaf-like
soft,Round
soft,Curious
soft,Floofy
soft,Boopable
soft,Tiny
soft,Dainty
soft,Plush
soft,Cottony
soft,Roly-poly
soft,Wriggly
soft,Sneaky
soft,Poofy
soft,Perky
soft,Grumpy
soft,Spunky
soft,Droopy
soft,Cozy
soft,Sassy
soft,Pampered
soft,Lazy
soft,Nibbling
soft,Munchy
soft,Frisky
soft,Peppy
soft,Smooshy
soft,Binky-prone
soft,Plushy
soft,Wobbling
soft,Teeny
soft,Blobby
soft,Scruffy
soft,Precious
soft,Feisty
soft,Fluffball-ish
soft,Nosy
soft,Pouty
soft,Majestic
soft,Scampering
soft,Thumpy
soft,Marshmallowy
soft,Huggable
soft,Gentle
soft,Ridiculous
soft,Rotund
soft,Dapper
soft,Scraggly
soft,Squashy
soft,Pillowy
soft,Mellow
soft,Docile
soft,Energetic
soft,Tubular
soft,Bashful
soft,Flappy-eared
soft,Potato-shaped
soft,Velour
soft,Itty-bitty
soft,Bumbling
soft,Shy
soft,Giggly
soft,Zoomy
soft,Orb-like
soft,Plucky
soft,Innocent
soft,Dumpy
soft,Pettable
soft,Sniffling
soft,Sprawling
soft,Lounge-y
soft,Twirly
soft,Bonkers
soft,Melty
soft,Boop-nosed
hard,Savage
hard,Ruthless
hard,Fierce
hard,Relentless
hard,Unstoppable
hard,Legendary
hard,Brutal
hard,Ferocious
hard,Deadly
hard,Menacing
hard,Vicious
hard,Merciless
hard,Fearless
hard,Dominant
hard,Mighty
hard,Rampaging
hard,Lethal
hard,Thunderous
hard,Formidable
hard,Unbreakable
hard,Invincible
hard,Raging
hard,Sinister
hard,Vengeful
hard,Apocalyptic
hard,Demonic
hard,Infernal
hard,Diabolical
hard,Terrifying
hard,Monstrous
hard,Colossal
hard,Titanic
hard,Supreme
hard,Ultimate
hard,Blazing
hard,Scorching
hard,Nuclear
hard,Explosive
hard,Annihilating
hard,Devastating
hard,Crushing
hard,Obliterating
hard,Wicked
hard,Unholy
hard,Chaotic
hard,Primal
hard,Reckless
hard,Berserker
hard,Warlike
hard,Battle-hardened
hard,Bloodthirsty
hard,Ravenous
hard,Rabid
hard,Feral
hard,Untamed
hard,Wild
hard,Savage
hard,Grim
hard,Dark
hard,Shadowy
hard,Nightmarish
hard,Cursed
hard,Forsaken
hard,Doomed
hard,Hellish
hard,Volcanic
hard,Seismic
hard,Cataclysmic
hard,Catastrophic
hard,Turbulent
hard,Stormy
hard,Tempestuous
hard,Wrathful
hard,Furious
hard,Enraged
hard,Malevolent
hard,Ominous
hard,Dreadful
hard,Ghastly
hard,Macabre
hard,Deranged
hard,Maniacal
hard,Unhinged
hard,Psychotic
hard,Insane
hard,Berserk
hard,Frenzied
crown_upper,Regal
crown_upper,Kingly
crown_upper,Majestic
crown_upper,Noble
crown_upper,Sovereign
crown_upper,Imperial
crown_upper,Crowned
crown_upper,Enthroned
crown_upper,Reigning
crown_upper,Anointed
crown_upper,Royal
crown_upper,Exalted
crown_upper,Triumphant
crown_upper,Glorious
regicide_upper,King-slaying
regicide_upper,Regicidal
regicide_upper,Throne-toppling
regicide_upper,Crown-snatching
regicide_upper,Usurping
regicide_upper,Dethroning
regicide_upper,Insurgent
regicide_upper,Coup-staging
regicide_upper,Dynasty-ending
regicide_upper,Monarch-hunting
regicide_upper,Uprising-leading
regicide_upper,Overthrow-happy
regicide_upper,Scepter-breaking
bumps_upper,Rowdy
bumps_upper,Brawling
bumps_upper,Scrappy
bumps_upper,Rambunctious
bumps_upper,Pushy
bumps_upper,Bulldozing
bumps_upper,Combative
bumps_upper,Rough-and-tumble
bumps_upper,Shoulder-checking
bumps_upper,Bruising
bumps_upper,Stampeding
bumps_upper,Barging
bumps_upper,Truculent
bumps_upper,Bullish
bumps_upper,Wrestling
kills_upper,Devastating
kills_upper,Lethal
kills_upper,Ruthless
kills_upper,Merciless
kills_upper,Unstoppable
kills_upper,Dominant
kills_upper,Vicious
kills_upper,Fearsome
kills_upper,Relentless
kills_upper,Crushing
kills_upper,Annihilating
kills_upper,All-destroying
kills_upper,Supreme
kills_upper,Skull-crushing
kills_upper,Conquering
kills_lower,Peaceful
kills_lower,Pacifist
kills_lower,Gentle
kills_lower,Harmless
kills_lower,Merciful
kills_lower,Kind-hearted
kills_lower,Benevolent
kills_lower,Tender
kills_lower,Tranquil
kills_lower,Serene
kills_lower,Zen
kills_lower,Passive
kills_lower,Nonviolent
kills_lower,Meek
kills_lower,Mild-mannered
deaths_upper,Accident-prone
deaths_upper,Hapless
deaths_upper,Unlucky
deaths_upper,Cursed
deaths_upper,Doomed
deaths_upper,Ill-fated
deaths_upper,Star-crossed
deaths_upper,Jinxed
deaths_upper,Tragic
deaths_upper,Luckless
deaths_upper,Blundering
deaths_upper,Clumsy
deaths_upper,Disaster-prone
deaths_upper,Squishy
deaths_upper,Fragile
deaths_lower,Invincible
deaths_lower,Immortal
deaths_lower,Unkillable
deaths_lower,Resilient
deaths_lower,Indestructible
deaths_lower,Enduring
deaths_lower,Undying
deaths_lower,Unbreakable
deaths_lower,Everlasting
deaths_lower,Defiant
deaths_lower,Unscathed
