category,adjective
soft,Esponjosito
soft,Rechonchito
soft,Suavecito
soft,Achuchable
soft,Mimosón
soft,Dormilón
soft,Redondito
soft,Bolita de pelo
soft,Tiernito
soft,Pachoncito
soft,Peludito
soft,Blandito
soft,Cariñosito
soft,Bonachón
soft,Gordinflas
hard,Feroz
hard,Despiadado
hard,Imparable
hard,Salvaje
hard,Brutal
hard,Sanguinario
hard,Demoledor
hard,Fulminante
hard,Apocalíptico
hard,Infernal
hard,Colosal
hard,Temible
hard,Letal
hard,Furioso
hard,Desquiciado
crown_upper,Majestuoso
crown_upper,Soberano
crown_upper,Imperial
crown_upper,Coronado
crown_upper,Reinante
crown_upper,Augusto
crown_upper,Triunfante
regicide_upper,Usurpador
regicide_upper,Destronador
regicide_upper,Regicida
regicide_upper,Golpista
regicide_upper,Derrocador
regicide_upper,Insurgente
bumps_upper,Pendenciero
bumps_upper,Empujón
bumps_upper,Broncas
bumps_upper,Avasallador
bumps_upper,Arrollador
bumps_upper,Topetazo
bumps_upper,Chocante
kills_upper,Aniquilador
kills_upper,Exterminador
kills_upper,Demoledor
kills_upper,Aplastante
kills_upper,Implacable
kills_upper,Verdugo
kills_lower,Pacífico
kills_lower,Inofensivo
kills_lower,Bondadoso
kills_lower,Manso
kills_lower,Apacible
kills_lower,Sereno
deaths_upper,Gafe
deaths_upper,Torpón
deaths_upper,Cenizo
deaths_upper,Desafortunado
deaths_upper,Patoso
deaths_upper,Catastrófico
deaths_lower,Invencible
deaths_lower,Inmortal
deaths_lower,Irrompible
deaths_lower,Indestructible
deaths_lower,Resistente
deaths_lower,Inquebrantable
jumps_upper,Hiperactivo
jumps_upper,Saltarín
jumps_upper,Cafeinado
jumps_upper,Rebotador
jumps_upper,Brinquitos
jumps_upper,Canguro
jumps_lower,Plantado
jumps_lower,Inamovible
jumps_lower,Terrenal
jumps_lower,Enraizado
jumps_lower,Firme
jumps_lower,Pesadote
water_time_upper,Anfibio
water_time_upper,Empapado
water_time_upper,Acuático
water_time_upper,Mojado
water_time_upper,Sumergido
water_time_upper,Chorreante
water_jump_upper,Delfín
water_jump_upper,Salpicón
water_jump_upper,Salto de ola
water_jump_upper,Surfista
water_jump_upper,Chapoteador
ice_time_upper,Congelado
ice_time_upper,Glacial
ice_time_upper,Helado
ice_time_upper,Ártico
ice_time_upper,Escarchado
ice_time_upper,Patinador
springs_upper,Catapultado
springs_upper,Propulsado
springs_upper,Lanzado
springs_upper,Cohete
springs_upper,Supersónico
springs_upper,Elástico
direction_changes_upper,Indeciso
direction_changes_upper,Nervioso
direction_changes_upper,Despistado
direction_changes_upper,Errático
direction_changes_upper,Zigzagueante
direction_changes_upper,Dubitativo
direction_changes_lower,Decidido
direction_changes_lower,Imperturbable
direction_changes_lower,Resuelto
direction_changes_lower,Inquebrantable
direction_changes_lower,Enfocado
direction_changes_lower,Testarudo
height_upper,Celestial
height_upper,Volador
height_upper,Altísimo
height_upper,Cumbrero
height_upper,Elevadísimo
critter_disruptor_upper,Alborotador
critter_disruptor_upper,Perturbador
critter_disruptor_upper,Aterrador
critter_disruptor_upper,Bichero
critter_disruptor_upper,Caótico
fly_proximity_upper,Moscardón
fly_proximity_upper,Zumbador
fly_proximity_upper,Apestoso
fly_proximity_upper,Atrapa-moscas
fly_proximity_upper,Enjambre
poop_upper,Cagoncete
poop_upper,Fertilizante
poop_upper,Bolitas por doquier
poop_upper,Abonador
poop_upper,Prolífico
