category,adjective
soft,Doudou
soft,Pataud
soft,Câlineux
soft,Joufflu
soft,Peluche
soft,Ronronnant
soft,Grassouillet
soft,Mignonnet
soft,Somnolent
soft,Tout-doux
soft,Rondouillard
soft,Boudeur
soft,Fripouille
soft,Coquin
soft,Patapouf
soft,Potelé
soft,Moumoute
soft,Farfelu
soft,Rigolo
soft,Trognon
soft,Dodu
soft,Nounours
soft,Poupouille
soft,Timide
soft,Pomponné
hard,Féroce
hard,Impitoyable
hard,Dévastateur
hard,Titanesque
hard,Infernal
hard,Foudroyant
hard,Déchaîné
hard,Monstrueux
hard,Apocalyptique
hard,Enragé
hard,Terrifiant
hard,Volcanique
hard,Cataclysmique
hard,Démoniaque
hard,Frénétique
hard,Ravageur
hard,Sanguinaire
hard,Implacable
hard,Furieux
hard,Sauvage
hard,Sinistre
hard,Cauchemardesque
hard,Explosif
hard,Barbare
hard,Vengeur
crown_upper,Majestueux
crown_upper,Souverain
crown_upper,Impérial
crown_upper,Couronné
crown_upper,Régnant
crown_upper,Glorieux
crown_upper,Royal
crown_upper,Sacré
crown_upper,Noble
crown_upper,Triomphant
regicide_upper,Régicide
regicide_upper,Usurpateur
regicide_upper,Détrôneur
regicide_upper,Putschiste
regicide_upper,Brise-sceptre
regicide_upper,Renverseur
regicide_upper,Séditieux
regicide_upper,Factieux
regicide_upper,Comploteur
bumps_upper,Bagarreur
bumps_upper,Bousculeur
bumps_upper,Chahuteur
bumps_upper,Bourrin
bumps_upper,Percuteur
bumps_upper,Fonceur
bumps_upper,Rentre-dedans
bumps_upper,Bouscul-tout
bumps_upper,Tamponnant
bumps_upper,Cogneur
kills_upper,Exterminateur
kills_upper,Destructeur
kills_upper,Implacable
kills_upper,Écraseur
kills_upper,Conquérant
kills_upper,Foudroyant
kills_upper,Anéantisseur
kills_upper,Suprême
kills_upper,Dominateur
kills_upper,Invaincu
kills_lower,Pacifique
kills_lower,Inoffensif
kills_lower,Bienveillant
kills_lower,Doux
kills_lower,Paisible
kills_lower,Serein
kills_lower,Angélique
kills_lower,Débonnaire
kills_lower,Candide
kills_lower,Gentillet
deaths_upper,Malchanceux
deaths_upper,Maladroit
deaths_upper,Poissard
deaths_upper,Maudit
deaths_upper,Fragile
deaths_upper,Catastrophique
deaths_upper,Gaffeur
deaths_upper,Calamiteux
deaths_upper,Empotruché
deaths_upper,Guignolesque
deaths_lower,Invincible
deaths_lower,Immortel
deaths_lower,Incassable
deaths_lower,Résistant
deaths_lower,Indestructible
deaths_lower,Éternel
deaths_lower,Blindé
deaths_lower,Imperméable
deaths_lower,Cuirassé
jumps_upper,Hyperactif
jumps_upper,Sautillant
jumps_upper,Caféiné
jumps_upper,Bondissant
jumps_upper,Surexcité
jumps_upper,Kangourou
jumps_upper,Gambadeur
jumps_upper,Rebondissant
jumps_upper,Pétulant
jumps_upper,Cabriole
jumps_lower,Enraciné
jumps_lower,Planté
jumps_lower,Inébranlable
jumps_lower,Immobile
jumps_lower,Ancré
jumps_lower,Plombé
jumps_lower,Collé au sol
jumps_lower,Statique
jumps_lower,Stoïque
jumps_lower,Immuable
water_time_upper,Amphibie
water_time_upper,Trempé
water_time_upper,Aquatique
water_time_upper,Submergé
water_time_upper,Mouillé
water_time_upper,Marin
water_time_upper,Abyssal
water_time_upper,Imbibé
water_time_upper,Océanique
water_time_upper,Poissonneux
