category,adjective
soft,गोलमटोल
soft,मुलायम
soft,प्यारा
soft,नटखट
soft,फूला-फूला
soft,गुदगुदा
soft,ऊनी
soft,मासूम
soft,सुस्त
soft,भोला-भाला
soft,नन्हा
soft,गोल-मटोल
soft,मीठा
soft,शरारती
soft,लाडला
soft,मोटूराम
soft,गुलगुल
soft,रोएँदार
soft,पिल्लू
soft,निक्कू
soft,ठुमकता
soft,गुलाबी
soft,लोटपोट
soft,ठिगना
soft,चुलबुला
hard,भयंकर
hard,क्रूर
hard,अजेय
hard,विनाशकारी
hard,प्रचंड
hard,उग्र
hard,निर्दयी
hard,खूंखार
hard,महाबली
hard,विकराल
hard,रौद्र
hard,प्रलयंकारी
hard,भीषण
hard,अदम्य
hard,तूफ़ानी
hard,प्रलयकारी
hard,दुर्दान्त
hard,महाविनाशी
hard,ज्वालामुखी
hard,अग्निशामक
hard,रक्तपिपासु
hard,महाकाली
hard,आतंकी
hard,दुर्गम
hard,उन्मत्त
crown_upper,शाही
crown_upper,सम्राट
crown_upper,राजसी
crown_upper,ताजपोश
crown_upper,सिंहासनी
crown_upper,महाराज
crown_upper,राज्याभिषिक्त
crown_upper,विजयी
crown_upper,प्रतापी
crown_upper,तेजस्वी
regicide_upper,राजघाती
regicide_upper,सिंहासन-लुटेरा
regicide_upper,तख़्तापलट
regicide_upper,बग़ावती
regicide_upper,राज-विद्रोही
regicide_upper,ताज-छीनू
regicide_upper,राजद्रोही
regicide_upper,सत्ता-पलटू
regicide_upper,गद्दी-लुटेरा
bumps_upper,धक्कामुक्की
bumps_upper,टक्करबाज़
bumps_upper,ठेलमठेल
bumps_upper,रगड़ाई
bumps_upper,भिड़ंत
bumps_upper,धमाचौकड़ी
bumps_upper,पहलवानी
bumps_upper,टकराऊ
bumps_upper,कंधा-मारू
bumps_upper,भड़काऊ
kills_upper,महासंहारी
kills_upper,विजेता
kills_upper,अपराजित
kills_upper,कालनेमि
kills_upper,यमदूत
kills_upper,रणबांकुरा
kills_upper,विध्वंसक
kills_upper,प्रबलतम
kills_upper,सर्वनाशी
kills_upper,अजगरी
kills_lower,शांतिप्रिय
kills_lower,अहिंसक
kills_lower,दयालु
kills_lower,कोमल
kills_lower,निरीह
kills_lower,सज्जन
kills_lower,सहृदय
kills_lower,करुणामय
kills_lower,मृदु
kills_lower,भद्र
deaths_upper,अभागा
deaths_upper,बदक़िस्मत
deaths_upper,दुर्भाग्यशाली
deaths_upper,लुढ़कू
deaths_upper,गिरंदाज़
deaths_upper,नाज़ुक
deaths_upper,फिसलनदार
deaths_upper,भटकैया
deaths_upper,पतनशील
deaths_upper,टूटनहार
deaths_lower,अमर
deaths_lower,अजर
deaths_lower,वज्रदेही
deaths_lower,अभेद्य
deaths_lower,अटल
deaths_lower,लौहपुरुष
deaths_lower,चट्टानी
deaths_lower,अविनाशी
deaths_lower,प्रतिरोधी
jumps_upper,उछलकूद
jumps_upper,कूदनफांद
jumps_upper,चंचल
jumps_upper,बेचैन
jumps_upper,तड़पता
jumps_upper,उत्साही
jumps_upper,फुदकता
