category,adjective
soft,Coccoloso
soft,Morbidoso
soft,Paffutello
soft,Tondetto
soft,Soffice
soft,Pelosetto
soft,Arruffato
soft,Sonnacchioso
soft,Patatoso
soft,Batuffoloso
soft,Cicciottello
soft,Teneruccio
soft,Pigrone
soft,Dolcetto
soft,Birichino
soft,Sbuffante
soft,Rotolante
soft,Sognante
soft,Cucciolone
soft,Imbranato
soft,Vivacetto
soft,Musetto
soft,Morbidone
soft,Goffo
soft,Tontolone
hard,Spietato
hard,Feroce
hard,Devastante
hard,Implacabile
hard,Infernale
hard,Mostruoso
hard,Apocalittico
hard,Indemoniato
hard,Scatenato
hard,Diabolico
hard,Sanguinario
hard,Titanico
hard,Fulminante
hard,Catastrofico
hard,Vulcanico
hard,Inarrestabile
hard,Furente
hard,Bestiale
hard,Selvaggio
hard,Letale
hard,Folle
hard,Oscuro
hard,Cataclismico
hard,Maledetto
hard,Funesto
crown_upper,Maestoso
crown_upper,Regale
crown_upper,Imperiale
crown_upper,Nobile
crown_upper,Sovrano
crown_upper,Incoronato
crown_upper,Glorioso
crown_upper,Troneggiante
crown_upper,Eccelso
crown_upper,Augusto
regicide_upper,Regicida
regicide_upper,Usurpatore
regicide_upper,Detronizzante
regicide_upper,Golpista
regicide_upper,Rivoltoso
regicide_upper,Ribelle
regicide_upper,Spezzascettro
regicide_upper,Rovesciatore
regicide_upper,Insurrezionale
regicide_upper,Ruba-corone
bumps_upper,Rissoso
bumps_upper,Spintone
bumps_upper,Smanaccione
bumps_upper,Sgomitante
bumps_upper,Irruento
bumps_upper,Sfondatore
bumps_upper,Cozzante
bumps_upper,Turbolento
bumps_upper,Testardone
bumps_upper,Testa-d'ariete
kills_upper,Sterminatore
kills_upper,Letale
kills_upper,Spietato
kills_upper,Invincibile
kills_upper,Annientatore
kills_upper,Schiacciante
kills_upper,Dominante
kills_upper,Conquistatore
kills_upper,Supremo
kills_upper,Imbattibile
kills_lower,Pacifista
kills_lower,Mansueto
kills_lower,Innocuo
kills_lower,Tranquillo
kills_lower,Docile
kills_lower,Bonaccione
kills_lower,Mite
kills_lower,Sereno
kills_lower,Gentile
kills_lower,Pacioccone
deaths_upper,Sfortunato
deaths_upper,Scalognato
deaths_upper,Goffo
deaths_upper,Iellato
deaths_upper,Sventurato
deaths_upper,Pasticcione
deaths_upper,Fragile
deaths_upper,Sciagurato
deaths_upper,Sbadato
deaths_upper,Malcapitato
deaths_lower,Indistruttibile
deaths_lower,Immortale
deaths_lower,Imbattibile
deaths_lower,Coriaceo
deaths_lower,Invulnerabile
deaths_lower,Inscalfibile
deaths_lower,Inossidabile
deaths_lower,Eterno
deaths_lower,Granitico
deaths_lower,Temprato
jumps_upper,Salterino
jumps_upper,Scattante
jumps_upper,Iperattivo
jumps_upper,Balzante
jumps_upper,Trampolinista
jumps_upper,Frenetico
jumps_upper,Irrequieto
jumps_upper,Volante
jumps_upper,Rimbalzante
jumps_upper,Esuberante
jumps_lower,Radicato
jumps_lower,Piantato
jumps_lower,Piede-pesante
jumps_lower,Inamovibile
jumps_lower,Stabile
jumps_lower,Ancorato
jumps_lower,Granitico
jumps_lower,Statuario
jumps_lower,Saldo
jumps_lower,Impiantato
water_time_upper,Acquatico
water_time_upper,Anfibio
water_time_upper,Fradicio
water_time_upper,Inzuppato
water_time_upper,Sommergibile
water_time_upper,Pesciolino
water_time_upper,Nuotatore
water_time_upper,Sgocciolante
water_time_upper,Sguazzante
water_time_upper,Grondante
water_jump_upper,Delfino
water_jump_upper,Schizzante
water_jump_upper,Tuffatore
water_jump_upper,Surfista
water_jump_upper,Sbattente
water_jump_upper,Spruzzante
water_jump_upper,Zampillante
water_jump_upper,Onda-saltante
ice_time_upper,Ghiacciato
ice_time_upper,Gelido
ice_time_upper,Infreddolito
ice_time_upper,Scivoloso
ice_time_upper,Brinato
ice_time_upper,Innevato
ice_time_upper,Congelato
ice_time_upper,Artico
ice_time_upper,Glaciale
ice_time_upper,Polare
springs_upper,Catapultato
springs_upper,Lanciato
springs_upper,Proiettato
springs_upper,A-razzo
springs_upper,Turbo
springs_upper,Fiondato
springs_upper,Sparato
springs_upper,Trampolinato
springs_upper,Propulso
springs_upper,Supersonico
direction_changes_upper,Zigzagante
direction_changes_upper,Agitato
direction_changes_upper,Nervoso
direction_changes_upper,Spaventato
direction_changes_upper,Smanioso
direction_changes_upper,Indeciso
direction_changes_upper,Frenetico
direction_changes_upper,Sballottato
direction_changes_upper,Confusionario
direction_changes_upper,Tremolante
direction_changes_lower,Risoluto
direction_changes_lower,Deciso
direction_changes_lower,Determinato
direction_changes_lower,Incrollabile
direction_changes_lower,Inflessibile
direction_changes_lower,Ostinato
direction_changes_lower,Concentrato
direction_changes_lower,Testardo
direction_changes_lower,Imperterrito
direction_changes_lower,Ferreo
height_upper,Altissimo
height_upper,Celeste
height_upper,Svettante
height_upper,Stratosferico
height_upper,Altitudinario
height_upper,Vertiginoso
height_upper,Nuvol-saltante
height_upper,Vetta-raggiunta
height_upper,Torreggiante
critter_disruptor_upper,Devastatore
critter_disruptor_upper,Terrorizzante
critter_disruptor_upper,Disturbatore
critter_disruptor_upper,Seminatore-di-caos
critter_disruptor_upper,Caccia-bestie
critter_disruptor_upper,Scompigliante
critter_disruptor_upper,Panicatore
fly_proximity_upper,Ronzante
fly_proximity_upper,Sciame-attratto
fly_proximity_upper,Mosca-circondato
fly_proximity_upper,Insetto-avvolto
fly_proximity_upper,Zanzara-seguito
fly_proximity_upper,Moscerino-nuvola
fly_proximity_upper,Bzzante
poop_upper,Cacchino
poop_upper,Concimatore
poop_upper,Pallino-lasciapassare
poop_upper,Patatrac-intestinale
poop_upper,Sganciatutto
poop_upper,Sganciatore
poop_upper,Plopante
poop_upper,Fertilizzante
poop_upper,Traccia-lasciante
