category,adjective
soft,もふもふ
soft,ぽっちゃり
soft,ふわふわ
soft,むちむち
soft,のんびり
soft,ぽんぽこ
soft,ころころ
soft,すやすや
soft,ちょこちょこ
soft,もこもこ
soft,ぷにぷに
soft,ほわほわ
soft,まるまる
soft,とろとろ
soft,ぬくぬく
soft,おっとり
soft,ぼんやり
soft,くりくり
soft,ちんまり
soft,てくてく
soft,ぽてぽて
soft,むにむに
soft,すべすべ
soft,きょとん
soft,ぴょこぴょこ
hard,凶暴
hard,無慈悲
hard,猛烈
hard,容赦無し
hard,暴虐
hard,鬼畜
hard,狂暴
hard,殲滅
hard,破壊的
hard,絶対的
hard,魔王級
hard,阿修羅
hard,修羅場
hard,殺戮的
hard,極悪
hard,地獄の
hard,暗黒
hard,凄絶
hard,怒涛の
hard,最凶
hard,戦闘狂
hard,血みどろ
hard,野蛮
hard,荒ぶる
hard,無敵
crown_upper,威厳ある
crown_upper,王者
crown_upper,高貴
crown_upper,至高
crown_upper,君臨する
crown_upper,堂々たる
crown_upper,気品ある
crown_upper,戴冠の
crown_upper,帝王級
crown_upper,栄光の
regicide_upper,下剋上
regicide_upper,王殺し
regicide_upper,謀反の
regicide_upper,簒奪の
regicide_upper,革命的
regicide_upper,王座崩し
regicide_upper,反逆の
regicide_upper,転覆の
regicide_upper,叛乱の
regicide_upper,天下取り
bumps_upper,暴れん坊
bumps_upper,突進する
bumps_upper,ぶつかり屋
bumps_upper,猪突猛進
bumps_upper,タックル好き
bumps_upper,体当たり
bumps_upper,押しまくり
bumps_upper,ドスドス
bumps_upper,はちゃめちゃ
bumps_upper,ガツガツ
kills_upper,殲滅の
kills_upper,必殺
kills_upper,鬼神の
kills_upper,無双
kills_upper,討伐の
kills_upper,征服の
kills_upper,壊滅の
kills_upper,圧倒的
kills_upper,仕留め屋
kills_upper,天誅の
kills_lower,平和主義
kills_lower,温厚
kills_lower,穏やか
kills_lower,優しい
kills_lower,慈悲深い
kills_lower,無害
kills_lower,のどか
kills_lower,おとなしい
kills_lower,控えめ
kills_lower,静か
deaths_upper,ドジっ子
deaths_upper,不運
deaths_upper,薄命
deaths_upper,おっちょこちょい
deaths_upper,災難体質
deaths_upper,すぐやられる
deaths_upper,ぺしゃんこ
deaths_upper,はかない
deaths_upper,もろい
deaths_upper,ツイてない
deaths_lower,不死身
deaths_lower,鉄壁
deaths_lower,無傷
deaths_lower,頑丈
deaths_lower,しぶとい
deaths_lower,タフ
deaths_lower,永遠
deaths_lower,不滅
deaths_lower,鋼の
deaths_lower,生き残り
jumps_upper,ぴょんぴょん
jumps_upper,跳ね回り
jumps_upper,バネ足
jumps_upper,空中浮遊
jumps_upper,飛び跳ね
jumps_upper,カンガルー級
jumps_upper,落ち着きなし
jumps_upper,ビョンビョン
jumps_upper,舞い上がる
jumps_upper,天高く
jumps_lower,どっしり
jumps_lower,地に足
jumps_lower,重量級
jumps_lower,動かざる
jumps_lower,不動
jumps_lower,安定
jumps_lower,腰が重い
jumps_lower,岩のよう
jumps_lower,泰然
jumps_lower,堅実
water_time_upper,水浸し
water_time_upper,びしょ濡れ
water_time_upper,水中の
water_time_upper,半魚
water_time_upper,潜水
water_time_upper,水遊び好き
water_time_upper,ずぶ濡れ
water_time_upper,河童みたい
water_time_upper,水棲
water_time_upper,ぽちゃぽちゃ
water_jump_upper,飛び魚
water_jump_upper,イルカ的
water_jump_upper,水しぶき
water_jump_upper,跳ね鯉
water_jump_upper,波乗り
water_jump_upper,バシャバシャ
water_jump_upper,噴水のよう
water_jump_upper,サーフィン
ice_time_upper,凍てつく
ice_time_upper,氷漬け
ice_time_upper,極寒
ice_time_upper,ツルツル
ice_time_upper,霜だらけ
ice_time_upper,雪まみれ
ice_time_upper,冷凍
ice_time_upper,吹雪育ち
ice_time_upper,氷上の
ice_time_upper,カチカチ
springs_upper,発射台好き
springs_upper,バネ仕掛け
springs_upper,カタパルト
springs_upper,超加速
springs_upper,射出
springs_upper,ロケット級
springs_upper,弾丸
springs_upper,吹っ飛び
springs_upper,トランポリン好き
springs_upper,ビューン
direction_changes_upper,おどおど
direction_changes_upper,キョロキョロ
direction_changes_upper,右往左往
direction_changes_upper,あたふた
direction_changes_upper,そわそわ
direction_changes_upper,ウロウロ
direction_changes_upper,ジグザグ
direction_changes_upper,迷走
direction_changes_upper,優柔不断
direction_changes_upper,パニック
direction_changes_lower,一直線
direction_changes_lower,迷いなし
direction_changes_lower,断固たる
direction_changes_lower,揺るがない
direction_changes_lower,まっしぐら
direction_changes_lower,不動心
direction_changes_lower,一途
direction_changes_lower,鉄の意志
direction_changes_lower,ブレない
direction_changes_lower,芯の強い
height_upper,天空の
height_upper,高みの
height_upper,雲の上
height_upper,頂上の
height_upper,飛翔
height_upper,上昇気流
height_upper,成層圏
height_upper,はるか上空
height_upper,頂を目指す
critter_disruptor_upper,暴れ者
critter_disruptor_upper,大暴れ
critter_disruptor_upper,騒動屋
critter_disruptor_upper,追い回し
critter_disruptor_upper,脅かし屋
critter_disruptor_upper,害獣退治
critter_disruptor_upper,めちゃくちゃ
fly_proximity_upper,ブンブン
fly_proximity_upper,虫まみれ
fly_proximity_upper,ハエたかり
fly_proximity_upper,羽音だらけ
fly_proximity_upper,蟲使い
fly_proximity_upper,虫寄せ
fly_proximity_upper,蠅囲い
poop_upper,うんち王
poop_upper,ポロポロ
poop_upper,肥料製造
poop_upper,コロコロ落とし
poop_upper,快腸
poop_upper,ブリブリ
poop_upper,たれ流し
poop_upper,ぷりぷり
poop_upper,腸絶好調
