category,adjective
soft,Fofinho
soft,Rechonchudo
soft,Peludo
soft,Molenga
soft,Dorminhoco
soft,Gorduchinho
soft,Bolinha de pelo
soft,Dengoso
soft,Manhoso
soft,Fofo
soft,Preguiçoso
soft,Travesso
soft,Bobalhão
soft,Redondinho
soft,Miudinho
soft,Felpudo
soft,Bochechudo
soft,Gracinha
soft,Sapeca
soft,Fofura
soft,Molengão
soft,Banguela
soft,Tímido
soft,Pançudo
soft,Bolotinha
hard,Feroz
hard,Implacável
hard,Selvagem
hard,Devastador
hard,Brutal
hard,Impiedoso
hard,Titânico
hard,Colossal
hard,Infernal
hard,Enlouquecido
hard,Sanguinário
hard,Tempestuoso
hard,Apocalíptico
hard,Aterrador
hard,Demoníaco
hard,Bárbaro
hard,Furioso
hard,Sinistro
hard,Monstruoso
hard,Insano
hard,Mortífero
hard,Vulcânico
hard,Desalmado
hard,Tenebroso
hard,Descontrolado
crown_upper,Majestoso
crown_upper,Soberano
crown_upper,Imperial
crown_upper,Coroado
crown_upper,Régio
crown_upper,Triunfante
crown_upper,Glorioso
crown_upper,Nobre
crown_upper,Sagrado
crown_upper,Augusto
regicide_upper,Regicida
regicide_upper,Usurpador
regicide_upper,Destronador
regicide_upper,Golpista
regicide_upper,Insurrecionário
regicide_upper,Quebra-cetro
regicide_upper,Derrubador
regicide_upper,Subversivo
regicide_upper,Conspirador
bumps_upper,Brigão
bumps_upper,Empurrão
bumps_upper,Trombadinha
bumps_upper,Arrasador
bumps_upper,Abalroador
bumps_upper,Porradeiro
bumps_upper,Esbarrão
bumps_upper,Atropelador
bumps_upper,Trucidador
bumps_upper,Trombador
kills_upper,Aniquilador
kills_upper,Exterminador
kills_upper,Esmagador
kills_upper,Dominador
kills_upper,Imparável
kills_upper,Carrasco
kills_upper,Conquistador
kills_upper,Supremo
kills_upper,Fulminante
kills_upper,Dizimador
kills_lower,Pacífico
kills_lower,Inofensivo
kills_lower,Bondoso
kills_lower,Manso
kills_lower,Sereno
kills_lower,Tranquilo
kills_lower,Dócil
kills_lower,Angelical
kills_lower,Gentil
kills_lower,Meigo
deaths_upper,Azarado
deaths_upper,Desastrado
deaths_upper,Pé-frio
deaths_upper,Amaldiçoado
deaths_upper,Frágil
deaths_upper,Catastrófico
deaths_upper,Atrapalhado
deaths_upper,Desengonçado
deaths_upper,Pangaré
